user_id,age_group,populational_aff,gender,education,location_city,country,interest_tags
290,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,ginásio (musculação)
291,18 - 24,Prefer not to disclose,M,Bachelor’s Degree,Setúbal,Portugal,"Vários dos selecionados, destacaria ais leitura e caminhadas, mas depende. (A 2ª questão é ridícula)"
292,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
293,41 - 50,Latino,F,Doctorate Degree,Setúbal,Portugal,
294,41 - 50,White/Caucasian,M,Doctorate Degree,Faro,Portugal,
295,18 - 24,Latino,M,High School,Lisboa,Portugal,
296,18 - 24,Latino,M,Bachelor’s Degree,Setúbal,Portugal,Ginásio
297,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
298,31 - 40,Latino,M,Master’s Degree,Maranhão,Brazil,
299,41 - 50,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
300,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
301,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,Yoga
302,61 - 70,White/Caucasian,F,Middle School,Guarda,Portugal,
303,25 - 30,White/Caucasian,M,High School,Lisboa,Portugal,
304,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,
305,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Escalada
306,25 - 30,White/Caucasian,M,Doctorate Degree,Canton of Esch-sur-Alzette,Luxembourg,"Viajar, Ginásio"
307,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,
308,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
309,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
310,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
311,25 - 30,Latino,M,Master’s Degree,Setúbal,Portugal,
312,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
313,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,
314,18 - 24,White/Caucasian,M,Bachelor’s Degree,Viseu,Portugal,
315,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,
316,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,
317,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
318,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
319,25 - 30,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,
320,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,
321,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
322,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
323,25 - 30,Pacific Islander,F,Bachelor’s Degree,Lisboa,Portugal,
324,18 - 24,White/Caucasian,M,Bachelor’s Degree,Madeira,Portugal,
325,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
326,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
327,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
328,18 - 24,Latino,F,High School,Lisboa,Portugal,
329,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,"Ténis, Padel"
330,25 - 30,White/Caucasian,M,High School,Lisboa,Portugal,
331,31 - 40,Prefer not to disclose,F,Master’s Degree,Lisboa,Portugal,
332,18 - 24,Latino,F,Bachelor’s Degree,Lisboa,Portugal,
333,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,
334,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Treino Muscular
335,18 - 24,Prefer not to disclose,M,Bachelor’s Degree,Lisboa,Portugal,Cubo mágico
336,41 - 50,Asian,M,Bachelor’s Degree,Setúbal,Portugal,Colecionismo
337,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,Musculação
338,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
339,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,escrita
340,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,
341,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,
