id,age,populational_aff,gender,education,city,country_residence,date_survey,consented,hobby_other
276,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 11:02:28,1,
277,51 - 60,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 12:32:27,1,
278,18 - 24,Prefer not to disclose,F,High School,Lisboa,Portugal,2025-05-20 12:37:48,1,
279,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 12:38:13,1,
280,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 13:34:26,1,
281,25 - 30,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-05-20 14:25:32,1,
282,61 - 70,Latino,M,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 15:57:37,1,
283,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 15:59:06,1,
284,41 - 50,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-05-20 17:38:42,1,
285,41 - 50,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 18:15:08,1,
286,25 - 30,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-20 18:46:54,1,Volei
287,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-05-20 21:08:14,1,Escrita
288,31 - 40,Latino,M,Bachelor’s Degree,Rio de Janeiro,Brazil,2025-05-20 21:24:52,1,
289,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-21 09:04:55,1,
290,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2025-05-21 09:34:59,1,ginásio (musculação)
291,18 - 24,Prefer not to disclose,M,Bachelor’s Degree,Setúbal,Portugal,2025-05-21 18:57:04,1,"Vários dos selecionados, destacaria ais leitura e caminhadas, mas depende. (A 2ª questão é ridícula)"
292,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2025-05-21 20:57:34,1,
293,41 - 50,Latino,F,Doctorate Degree,Setúbal,Portugal,2025-05-22 19:46:46,1,
294,41 - 50,White/Caucasian,M,Doctorate Degree,Faro,Portugal,2025-05-22 20:59:37,1,
295,18 - 24,Latino,M,High School,Lisboa,Portugal,2025-05-23 11:33:28,1,
296,18 - 24,Latino,M,Bachelor’s Degree,Setúbal,Portugal,2025-05-23 14:23:40,1,Ginásio
297,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2025-05-25 12:11:15,1,
298,31 - 40,Latino,M,Master’s Degree,Maranhão,Brazil,2025-05-26 11:49:44,1,
299,41 - 50,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-26 14:40:29,1,
300,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-28 21:51:18,1,
301,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-05-31 20:10:21,1,Yoga
302,61 - 70,White/Caucasian,F,Middle School,Guarda,Portugal,2025-06-24 13:22:52,1,
303,25 - 30,White/Caucasian,M,High School,Lisboa,Portugal,2025-07-23 15:07:22,1,
304,18 - 24,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2025-09-10 13:34:14,1,
305,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-10 13:38:38,1,Escalada
306,25 - 30,White/Caucasian,M,Doctorate Degree,Canton of Esch-sur-Alzette,Luxembourg,2025-09-10 13:47:09,1,"Viajar, Ginásio"
307,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,2025-09-10 13:48:13,1,
308,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-10 13:54:24,1,
309,25 - 30,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-10 14:11:46,1,
310,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-10 14:12:33,1,
311,25 - 30,Latino,M,Master’s Degree,Setúbal,Portugal,2025-09-10 14:17:40,1,
312,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-10 14:25:48,1,
313,18 - 24,White/Caucasian,F,High School,Lisboa,Portugal,2025-09-10 14:49:07,1,
314,18 - 24,White/Caucasian,M,Bachelor’s Degree,Viseu,Portugal,2025-09-10 14:55:38,1,
315,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,2025-09-10 15:48:25,1,
316,18 - 24,White/Caucasian,F,Master’s Degree,Viseu,Portugal,2025-09-10 21:20:56,1,
317,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-10 21:25:00,1,
318,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-11 08:53:57,1,
319,25 - 30,White/Caucasian,M,Bachelor’s Degree,Setúbal,Portugal,2025-09-12 09:23:59,1,
320,25 - 30,White/Caucasian,M,Master’s Degree,Lisboa,Portugal,2025-09-12 09:28:54,1,
321,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 09:30:20,1,
322,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 09:36:08,1,
323,25 - 30,Pacific Islander,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 09:37:45,1,
324,18 - 24,White/Caucasian,M,Bachelor’s Degree,Madeira,Portugal,2025-09-12 09:37:49,1,
325,31 - 40,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 09:38:20,1,
326,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 10:10:45,1,
327,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-12 10:18:11,1,
328,18 - 24,Latino,F,High School,Lisboa,Portugal,2025-09-12 10:48:22,1,
329,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 11:00:07,1,"Ténis, Padel"
330,25 - 30,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-12 11:00:29,1,
331,31 - 40,Prefer not to disclose,F,Master’s Degree,Lisboa,Portugal,2025-09-12 11:00:31,1,
332,18 - 24,Latino,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 11:22:57,1,
333,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-12 11:42:32,1,
334,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 11:45:56,1,Treino Muscular
335,18 - 24,Prefer not to disclose,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 13:03:47,1,Cubo mágico
336,41 - 50,Asian,M,Bachelor’s Degree,Setúbal,Portugal,2025-09-12 13:06:21,1,Colecionismo
337,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 13:17:48,1,Musculação
338,41 - 50,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 14:26:19,1,
339,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 14:28:48,1,escrita
340,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 14:31:05,1,
341,25 - 30,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-12 16:01:54,1,
342,25 - 30,White/Caucasian,F,Master’s Degree,Faro,Portugal,2025-09-12 16:24:32,1,
343,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-12 16:34:32,1,"Ginasio, Surf"
344,18 - 24,White/Caucasian,F,Bachelor’s Degree,Setúbal,Portugal,2025-09-12 17:39:22,1,
345,18 - 24,Latino,M,High School,Lisboa,Portugal,2025-09-12 19:04:14,1,
346,18 - 24,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-12 20:26:48,1,
347,18 - 24,White/Caucasian,F,Master’s Degree,Lisboa,Portugal,2025-09-13 07:04:57,1,
348,25 - 30,Asian,F,Master’s Degree,Lisboa,Portugal,2025-09-13 11:25:49,1,
349,18 - 24,White/Caucasian,F,Bachelor’s Degree,Lisboa,Portugal,2025-09-13 11:32:37,1,
350,61 - 70,White/Caucasian,M,High School,Lisboa,Portugal,2025-09-13 12:59:39,1,
351,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-13 14:31:28,1,
352,18 - 24,Hispanic,M,Bachelor’s Degree,Porto,Portugal,2025-09-13 16:03:38,1,
353,18 - 24,White/Caucasian,M,Bachelor’s Degree,Lisboa,Portugal,2025-09-13 16:58:55,1,
